categoria	cuenta
total_kills	17472.00
total_deaths	16119.00
total_time_played	1492275.00
total_wins	8888.00
total_matches_won	482
total_matches_played	1010.00
total_kills_headshot	7147.00
total_damage_done	2726394.00
total_rounds_played	17008.00
calc_adr	160.300682
